"gene","module"
"BAG4","blue"
"BAG5","blue"
"BAHD1","blue"
"BAIAP2-DT","blue"
"BAIAP2L2","blue"
"BAP1","blue"
"BBC3","blue"
"BBS7","blue"
"BCAP29","blue"
"BCAS3","blue"
"BCAS4","blue"
"BCL11A","blue"
"BCL2L1","blue"
"BCL2L15","blue"
"BCL6","blue"
"BCL6B","blue"
"BCL7A","blue"
"BCL9","blue"
"BCL9L","blue"
"BCOR","blue"
"BCORL1","blue"
"BDH1","blue"
"BHLHE22","blue"
"BHLHE40-AS1","blue"
"BICD1","blue"
"BICRAL","blue"
"BID","blue"
"BLACAT1","blue"
"BLOC1S3","blue"
"BMT2","blue"
"BNIP3","blue"
"BNIP3L","blue"
"BNIP3P10","blue"
"BOLA2P3","blue"
"BOLA3-DT","blue"
"BOP1","blue"
"BORCS6","blue"
"BRAF","blue"
"BRD3","blue"
"BRF1","blue"
"BRSK2","blue"
"BSDC1","blue"
"BSN","blue"
"BTBD1","blue"
"BTBD10","blue"
"BTBD9","blue"
"C10orf88","blue"
"C11orf21","blue"
"C11orf68","blue"
"C11orf80","blue"
"C12orf4","blue"
"C14orf28","blue"
"C15orf40","blue"
"C16orf74","blue"
"C16orf87","blue"
"C16orf90","blue"
"C16orf91","blue"
"C16orf95","blue"
"C17orf107","blue"
"C19orf44","blue"
"C1QBP","blue"
"C1orf131","blue"
"C1orf174","blue"
"C1orf21","blue"
"C1orf94","blue"
"C2-AS1","blue"
"C5orf24","blue"
"C5orf34","blue"
"C6orf223","blue"
"C7orf26","blue"
"C7orf33","blue"
"C8orf34","blue"
"C8orf34-AS1","blue"
"C8orf58","blue"
"C8orf82","blue"
"C9orf40","blue"
"C9orf72","blue"
"C9orf78","blue"
"CA9","blue"
"CABIN1","blue"
"CACNB1","blue"
"CADM3-AS1","blue"
"CAMK1","blue"
"CAMK1D","blue"
"CAMK2G","blue"
"CAMK4","blue"
"CAMKK1","blue"
"CAMKK2","blue"
"CAMKV","blue"
"CAMLG","blue"
"CAMSAP1","blue"
"CAMSAP3","blue"
"CAND2","blue"
"CAP2","blue"
"CAPN1","blue"
"CAPN10","blue"
"CAPN5","blue"
"CAPRIN2","blue"
"CAPZA2","blue"
"CARD10","blue"
"CARHSP1","blue"
"CARTPT","blue"
"CASC6","blue"
"CBLL1","blue"
"CBLL1-AS1","blue"
"CBR1","blue"
"CBX3P9","blue"
"CBX8","blue"
"CCDC120","blue"
"CCDC125","blue"
"CCDC14","blue"
"CCDC149","blue"
"CCDC15-DT","blue"
"CCDC169","blue"
"CCDC177","blue"
"CCDC28A","blue"
"CCDC28B","blue"
"CCDC32","blue"
"CCDC50","blue"
"CCDC61","blue"
"CCDC71L","blue"
"CCDC82","blue"
"CCDC88C","blue"
"CCDC91","blue"
"CCDC92B","blue"
"CCKAR","blue"
"CCL17","blue"
"CCM2","blue"
"CCND2","blue"
"CCNP","blue"
"CCNT2","blue"
"CCNYL6","blue"
"CCSAP","blue"
"CCSER1","blue"
"CCSER2","blue"
"CD177","blue"
"CD274","blue"
"CD38","blue"
"CDC37L1","blue"
"CDC42","blue"
"CDC42EP3","blue"
"CDC7","blue"
"CDCA7L","blue"
"CDH7","blue"
"CDIN1","blue"
"CDK18","blue"
"CDK19","blue"
"CDK5R1","blue"
"CDK9","blue"
"CDKL3","blue"
"CDKL5","blue"
"CDPF1","blue"
"CDR2","blue"
"CDRT15P1","blue"
"CEACAM19","blue"
"CELF2","blue"
"CELF2-AS2","blue"
"CELF2-DT","blue"
"CEMIP","blue"
"CENPBD2P","blue"
"CENPV","blue"
"CEP120","blue"
"CEP170","blue"
