"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.60507872686549e-181,0.122842461445205,0.126,0.282,1.77783669329369e-176,0,"LSM12"
1.04020421599875e-180,0.328540183429627,0.14,0.303,4.01581239628477e-176,0,"PSME4"
1.07522779072434e-180,0.308529777526271,0.154,0.323,4.15102440887037e-176,0,"UMAD1"
1.20780066218061e-180,0.261335444273731,0.113,0.263,4.66283523641445e-176,0,"BCL2L13"
2.49180675150465e-180,0.304520238853735,0.187,0.377,9.61986914485887e-176,0,"FAF2"
6.70687027092281e-180,0.342173644046793,0.095,0.235,2.58925433679246e-175,0,"CLPTM1L"
7.79985763628569e-180,0.309482160066854,0.388,0.71,3.01121303906445e-175,0,"DDX18"
8.24452251310722e-180,0.179526349232653,0.157,0.33,3.18288036141017e-175,0,"ZCCHC10"
1.7104586184875e-179,0.310003723421489,0.153,0.325,6.60339654253285e-175,0,"NUB1"
1.71411673211143e-179,0.443773788654694,0.174,0.357,6.61751905598938e-175,0,"SAR1A"
1.89623846715921e-179,0.425108486309167,0.128,0.285,7.32061822631485e-175,0,"PRR14L"
5.9341221788444e-179,0.542277083487457,0.17,0.351,2.29092720836467e-174,0,"AP1G1"
