"gene","module"
"SDHDP5","black"
"SDR16C6P","black"
"SELENOKP3","black"
"SEPHS1P6","black"
"SEPTIN14","black"
"SEPTIN4-AS1","black"
"SEPTIN7P11","black"
"SERPINB13","black"
"SETBP1-DT","black"
"SETP1","black"
"SETP20","black"
"SETP3","black"
"SETP7","black"
"SFRP2","black"
"SGO1-AS1","black"
"SH2D3A","black"
"SH2D4A","black"
"SH3TC2","black"
"SH3TC2-DT","black"
"SIAH2-AS1","black"
"SIRLNT","black"
"SIRPG-AS1","black"
"SIX3-AS1","black"
"SLC11A1","black"
"SLC14A2","black"
"SLC14A2-AS1","black"
"SLC22A18AS","black"
"SLC23A4P","black"
"SLC25A21-AS1","black"
"SLC25A48","black"
"SLC28A3","black"
"SLC2A5","black"
"SLC39A3","black"
"SLC39A5","black"
"SLC39A7","black"
"SLC40A1","black"
"SLC5A12","black"
"SLC6A2","black"
"SLC7A15P","black"
"SLCO1C1","black"
"SLFN12","black"
"SLFN12L","black"
"SLFN14","black"
"SLIT3-AS2","black"
"SLITRK2","black"
"SMG7-AS1","black"
"SMIM14-DT","black"
"SMIM23","black"
"SMUG1","black"
"SNAP47-AS1","black"
"SNCAIP","black"
"SNHG1","black"
"SNHG17","black"
"SNHG27","black"
"SNHG6","black"
"SNORA62","black"
"SNORD104","black"
"SNORD39","black"
"SNORD3B-2","black"
"SNRPEP7","black"
"SNRPGP10","black"
"SNRPGP13","black"
"SNX25P1","black"
"SOCS2-AS1","black"
"SOX21","black"
"SPATA31C1","black"
"SPATA5L1","black"
"SPP2","black"
"SPSB4","black"
"SPTA1","black"
"SREK1IP1P1","black"
"SRP9P1","black"
"SSBL5P","black"
"SSBP2","black"
"STAU2P1","black"
"STRADBP1","black"
"STX18","black"
"SUMO1P1","black"
"SUN3","black"
"SUPT20HL1","black"
"SVIL2P","black"
"SYCP1","black"
"SYNDIG1","black"
"SYNE1-AS1","black"
"SYTL4","black"
"TAC3","black"
"TACO1","black"
"TACR1","black"
"TADA1","black"
"TADA3","black"
"TBC1D10A","black"
"TBX21","black"
"TBX5","black"
"TCAM1P","black"
"TCEAL9","black"
"TERF1P2","black"
"TEX101","black"
"TEX14","black"
"TEX37","black"
"TEX41","black"
"TEX55","black"
"TFAP2A-AS2","black"
"TFCP2L1","black"
"TFG","black"
